"bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
13.625,13.7833337783813,59.9275360107422,361.093658447266,26.2000007629395,3.20000004768372,23,9.10000038146973,17.5166664123535,17.8999996185303,9.10000038146973,985,207,2,93.3223037719727,538,11,19,538
13.9458332061768,10.2083330154419,56.0897445678711,301.552490234375,23.3999996185303,5.19999980926514,18.2000007629395,10.8833332061768,17.0833339691162,17.5666656494141,10.1666660308838,588,122,2,91.1382598876953,316,9,12,315
13.6541662216187,16.9416675567627,54.3002128601074,514.125305175781,31.8999996185303,0.699999988079071,31.1999988555908,8.41666698455811,19.6833343505859,20.5166664123535,8.01666641235352,565,105,2,88.4508438110352,296,8,15,291
14.2124996185303,13.2416667938232,56.3475189208984,390.274536132812,27,3.5,23.5,10.3166666030884,18.6499996185303,19.1166667938232,9.61666679382324,792,166,2,93.4866180419922,429,9,15,426
14.6666669845581,12.5833330154419,50.9446678161621,460.505340576172,28.6000003814697,3.90000009536743,24.7000007629395,9.93333339691162,19.7666664123535,20.4166679382324,9.10000038146973,539,111,1,90.362434387207,287,7,12,287
13.2958335876465,14.2249994277954,45.1587295532227,652.604797363281,31.8999996185303,0.400000005960464,31.5,6.28333330154419,21.3999996185303,21.3999996185303,5.75,1317,249,3,84.8794479370117,664,27,27,653
14.7541666030884,14.4583330154419,51.0895195007324,508.792938232422,30.7999992370605,2.5,28.2999992370605,8.75,20.5166664123535,21.2333335876465,8.75,531,106,2,89.9863510131836,278,8,13,278
16.9500007629395,14.4499998092651,56.4453125,403.833923339844,31.1000003814697,5.5,25.6000003814697,12.783332824707,21.5499992370605,22.3500003814697,12.4833335876465,422,90,0,101.089950561523,251,3,8,242
15.8416662216187,13.8000001907349,55.6451606750488,421.328155517578,28.8999996185303,4.09999990463257,24.7999992370605,11.6666669845581,20.716667175293,20.9333324432373,10.7333335876465,522,112,1,93.3377685546875,286,5,9,278
14.3374996185303,15.1416673660278,46.0233039855957,666.381408691406,33.7000007629395,0.800000011920929,32.9000015258789,7.08333301544189,22.5833339691162,23.1499996185303,7.08333301544189,887,159,3,85.6525650024414,445,16,20,445
14.4583330154419,14.4833335876465,58.1659965515137,368.965606689453,28.1000003814697,3.20000004768372,24.8999996185303,10.7333335876465,18.6833343505859,19.3333339691162,10.3999996185303,473,97,0,95.6372146606445,275,3,11,262
13.6750001907349,12.1166667938232,53.377384185791,414.402618408203,26.6000003814697,3.90000009536743,22.7000007629395,9.36666679382324,18.283332824707,19.0833339691162,9.08333301544189,853,171,3,90.7188339233398,448,12,19,447
12.8666667938232,10.9833335876465,59.6920280456543,284.415954589844,22.8999996185303,4.5,18.3999996185303,9.86666679382324,15.75,16.6166667938232,9.86666679382324,902,178,3,92.1469421386719,480,11,17,480
15.875,14.216667175293,55.3177680969238,440.276275634766,29.6000003814697,3.90000009536743,25.7000007629395,11.4833335876465,20.9833335876465,21.25,10.5666666030884,527,113,2,93.7877807617188,288,6,10,282
18.8999996185303,12.6499996185303,57.239818572998,352.658721923828,30.2999992370605,8.19999980926514,22.0999984741211,15.2166662216187,22.8666667938232,23.4833335876465,14.8666667938232,375,85,1,101.352493286133,236,6,10,216
15.9750003814697,14.5833330154419,56.5245475769043,394.285888671875,30,4.19999980926514,25.7999992370605,11.9333333969116,20.533332824707,21.216667175293,11.5666666030884,519,127,1,107.321922302246,343,5,11,307
15.1833333969116,13.1333332061768,49.7474746704102,500.991455078125,30,3.59999990463257,26.3999996185303,9,20.8999996185303,21.25,9,511,107,1,91.0528869628906,275,6,10,275
14.8083333969116,14.966667175293,55.8457717895508,448.014984130859,29.7000007629395,2.90000009536743,26.8000011444092,9.36666679382324,19.966667175293,20.1000003814697,9.36666679382324,845,179,1,93.3145446777344,465,9,16,465
17.8708324432373,12.8916664123535,55.5675315856934,378.702667236328,30.2999992370605,7.09999990463257,23.1999988555908,13.9499998092651,22.1666660308838,22.8666667938232,13.5666666030884,401,91,1,101.11181640625,246,6,10,234
15.1666669845581,14.3333339691162,57.1049118041992,370.836486816406,29.2000007629395,4.09999990463257,25.1000003814697,11.4000005722046,19.283332824707,20.1000003814697,11.0500001907349,480,101,0,97.7658615112305,284,2,9,262
18.3374996185303,11.5583333969116,54.264476776123,347.400238037109,28.8999996185303,7.59999990463257,21.2999992370605,14.783332824707,22.2000007629395,22.8333339691162,14.25,342,77,1,101.854011535645,217,5,9,200
14.6916666030884,13.9166669845581,43.3541030883789,687.782409667969,33.0999984741211,1,32.0999984741211,7.83333349227905,23.1999988555908,23.5666656494141,6.83333349227905,762,146,2,86.4825210571289,396,12,21,393
15.6833333969116,15.6833333969116,46.1274528503418,690.560791015625,35.2999992370605,1.29999995231628,34,8.89999961853027,24.2000007629395,24.466667175293,7.73333311080933,610,108,1,85.6289520263672,303,8,13,303
17.6416664123535,10.3333330154419,53.8194427490234,320.06982421875,26.7000007629395,7.5,19.2000007629395,14.3500003814697,21.1333332061768,21.783332824707,13.9166669845581,324,72,0,100.980812072754,203,4,9,190
17.2583332061768,14.1999998092651,52.5925903320312,469.423431396484,32.4000015258789,5.40000009536743,27.0000019073486,12.4666662216187,22.8166675567627,23.5833339691162,12.1499996185303,418,91,1,98.0746841430664,248,6,11,237
15.4499998092651,15.6666669845581,46.0784301757812,687.336791992188,35.2000007629395,1.20000004768372,34,7.58333301544189,23.8999996185303,24.2666664123535,7.58333301544189,691,122,2,85.3064651489258,340,11,15,340
15.3333330154419,13.6999998092651,51.1194038391113,491.511291503906,30.2000007629395,3.40000009536743,26.8000011444092,10.4666662216187,20.9166660308838,21.2000007629395,9.19999980926514,375,73,1,87.7243423461914,199,5,9,195
